Brewery,Address,Latitudes,Longitudes
Odyssey Beerwerks Brewery and Taproom,"5535 W 56th Ave, Arvada, CO 80002",39.8008906,-105.0589379
Roaring Fork Beer Company,"1941 Dolores Way, Carbondale, CO 81623",39.410559,-107.2235745
Floodstage Ale Works,"170 S. Main Street, Brighton, CO 80601",39.9840162,-104.8218867
Crow Hop Brewing,"217 E. 3rd St., Loveland, CO 80537",40.3945926,-105.0740763
Great Divide Brewing Company,"2201 Arapahoe St., Denver, CO 80205",39.7539551,-104.9884932
Yak & Yeti - Westminster,"8665 N. Sheridan Blvd., Westminster, CO 80003",39.8541609,-105.0536492
Crystal Springs Brewing,"657 S. Taylor Ave., Louisville, CO 80027",39.9605825,-105.1202766
Breckenridge Ale House at Amatos,"2501 16th Street, Denver, CO 80211",39.7586263,-105.0092171
Zwei Brewing Co.,"4612 S Mason St., Ste 120, Fort Collins, CO 80525",40.5227704,-105.0783612
Diebolt Brewing Co.,"3855 Mariposa St., Denver, CO 80211",39.7703508,-105.0032827
Launch Pad Brewery,"884 S Buckley Rd., Aurora, CO 80017",39.700827,-104.789906
Loveland Aleworks,"118 W. 4th St., Loveland, CO 80537",40.395281,-105.0773352
Breckenridge Brewery Farmhouse,"2920 Brewery Lane, Littleton, CO 80120",39.5937136,-105.0232324
Raices Brewing Company,"2060 West Colfax Ave, Denver, CO 80204",39.7387358,-105.0173431
Shoes and Brews,"63 S. Pratt Parkway unit B, Longmont, CO 80501",40.1580894,-105.107395
Equinox Brewing,"133 Remington Street, Fort Collins, CO 80524",40.5863427,-105.0758754
Gore Range Brewery,"0105 Edwards Village Boulevard, Edwards, CO 81632",39.643729,-106.596273
Crazy Mountain Brewery,"471 Kalamath St., Denver, CO 80204",39.7237459,-105.0004981
Station 26 Brewing Co.,"7045 E. 38th Ave., Denver, CO 80207",39.7695832,-104.9059688
Elevation Beer Company,"115 Pahlone Parkway, Poncha Springs, CO 81242",38.5182255,-106.0654415
Bristol Brewing,"1604 S Cascade Ave, Colorado Springs, CO 80905",38.8110338,-104.8274952
Black Shirt Brewing Co,"3719 Walnut Street, Denver, CO 80205",39.7698535,-104.9729748
Three Freaks Brewery,"7140 E. County Line Rd., Highlands Ranch, CO 80126",39.564892,-104.9059779
High Alpine Brewing Company,"111 N Main St, Gunnison, CO 81230",38.5447497,-106.9273064
Drätz Brewing Company,"965 E. 11th St, Loveland, CO 80537",40.4045554,-105.0646004
Joyride Brewing Co.,"2501 Sheridan Blvd., Edgewater, CO 80214",39.753134,-105.0534522
Westbound & Down Brewing Company,"1617 Miner St, Idaho Springs, CO 80452",39.7417922,-105.5154974
Beryl's Beer Company,"3120 C Blake Street, Denver, CO 80205",39.7648113,-104.9801861
Coopersmith's Pub and Brewing and Billiards,"5 Old Town Square, Fort Collins, CO 80524",40.5873914,-105.0756291
Mother Tucker Brewery,"1132 W Dillon Road, Louisville, CO 80027",39.9616196,-105.1672438
BJ's Restaurant and Brewhouse,"1690 28th St, Boulder, CO 80301",40.0177299,-105.2577891
Gold Camp Brewing Co.,"1007 S. Tejon Street, Colorado Springs, CO 80903",38.8195711,-104.8236099
Goldspot Brewing,"4970 Lowell Blvd., Denver, CO 80221",39.7868916,-105.0343496
San Luis Valley Brewing,"631 Main Street, Alamosa, CO 81101",37.4683105,-105.8668514
Rock Bottom Brewery - Loveland,"6025 Sky Pond Dr, Loveland, CO 80538",40.41048670000001,-104.987922
Rocky Mountain Brewery,"625 Paonia Street, Colorado Springs, CO 80915",38.8412913,-104.7164119
Hogshead Brewery,"4460 West 29th Avenue, Denver, CO 80212",39.75820909999999,-105.0450337
Brues Alehouse Brewing Co.,"120 E Riverwalk, Pueblo, CO 81003",38.265413,-104.609719
Nano 108 Brewing Co.,"2402 Waynoka Rd., Colorado Springs, CO 80915",38.8666712,-104.7178017
Ska Brewing Company,"225 Girard Street, Durango, CO 81301",37.23880219999999,-107.8761503
Southern Sun Pub & Brewery,"627 South Broadway, Boulder, CO 80305",39.9843178,-105.2493687
Phantom Canyon Brewing Co.,"2 E. Pikes Peak Ave, Colorado Springs, CO 80903",38.8342281,-104.8249417
7 Hermits Brewing Co.,"717 Sylvan Lake Rd. Unit B-1, Eagle, CO 81631",39.6400695,-106.8319921
Post Brewing Co.,"105 W. Emma St., Lafayette, CO 80026",39.9945463,-105.0913171
Soulcraft Brewing,"248 W. Hwy 50, Salida, CO 81201",38.5246682,-106.0062996
Florence Brewing Co.,"200 S. Pikes Peak Avenue, Florence, CO 81226",38.3886825,-105.118358
Big Choice Brewing,"21 S 1st Ave, Brighton, CO 80601",39.9863981,-104.8227303
Walter Brewing Co.,"126 Oneida St., Pueblo, CO 81003",38.2624019,-104.6101668
Brewmented Homebrew Store & Brewery,"900 S. Hover, Longmont, CO 80501",40.1517512,-105.1301461
Storybook Brewing,"3121 A North El Paso Street, Colorado Springs, CO 80907",38.8777333,-104.8124822
New Belgium Brewing Company,"500 Linden St., Fort Collins, CO 80524",40.5931253,-105.0679797
River North Brewery,"6021 Washington Street, Unit A, Denver, CO 80216",39.8065431,-104.9791364
Tommy Knocker Brewery and Pub,"1401 Miner St., Idaho Springs, CO 80452",39.7416267,-105.5177181
Jagged Mountain Craft Brewery,"1139 20th St., Denver, CO 80205",39.75226,-104.9913841
Breckenridge Ale House,"2531 N. 12th Street, Grand Junction, CO 81501",39.09082,-108.5527633
Spangalang Brewery,"2736 Welton St., Denver, CO 80205",39.7551762,-104.9769684
Finkel & Garf Brewing Co.,"5455 Spine Road, Boulder, CO 80301",40.0739741,-105.2027522
Kannah Creek Brewing Company,"1960 N 12th Street, Grand Junction, CO 81521",39.0853587,-108.5519053
Mobb Mountain Distillers,"400 Linden Street, Fort Collins, CO 80524",40.5900919,-105.0725504
Our Mutual Friend Malt & Brew,"2810 Larimer St., Denver, CO 80205",39.7604791,-104.9824454
Sanitas Brewing Co.,"3550 Frontier Ave., Boulder, CO 80301",40.0219602,-105.2478194
HighSide Brewing,"720 Main St, Frisco, CO 80443",39.5763247,-106.0928778
Rock Cut Brewing Co.,"390 W Riverside Drive, Estes Park, CO 80517",40.3718277,-105.5229489
Butcher Knife Brewing,"2875 Elk River Road, Steamboat Springs, CO 80487",40.5107762,-106.8581983
CB & Potts,"1441 E. Horsetooth Rd., Fort Collins, CO 80525",40.5375331,-105.0509012
Great Frontier Brewing Co.,"2010 S Oak, Lakewood, CO 80227",39.681339,-105.1177185
Edgewater Brewery,"905 Struthers Avenue, Grand Junction, CO 81501",39.0550127,-108.5572159
Rockslide Brew Pub,"401 Main St., Grand Junction, CO 81501",39.0670148,-108.5659124
Something Brewery,"117 N. Main St. A, Brighton, CO 80601",39.9883135,-104.8214308
Bottom Shelf Brewery,"118 E. Mill Street, Bayfield, CO 81122",37.225062,-107.599083
Palisade Brewing Company,"200 Peach Ave, Palisade, CO 81526",39.1110903,-108.3543443
Fossil Brewing Co.,"2845 Ore Mill Rd., Colorado Springs, CO 80904",38.848543,-104.8703975
Avalanche Brewing Co.,"1067 Blair St., Silverton, CO 81433",37.8103163,-107.6646552
Cb & Potts,"261 Kaycee Case Pl, Colorado Springs, CO 80921",39.0215401,-104.8256713
De Steeg Brewing Co.,"4342 Tennyson St., Denver, CO 80212",39.7761105,-105.0437324
Big Thompson Brewery,"114 E. 15th Street, Loveland, CO 80538",40.4078968,-105.0754359
Pagosa Brewing Company,"118 N Pagosa Blvd., Pagosa Springs, CO 81147",37.2687491,-107.0032217
